"BUSLINE_ID","TRADINGDATE","RUNNO","RUNSTATE","CAR_ID","DRIVER_ID","STIME","ETIME","RELIEFTIME","SSTATIONID","ESTATIONID","EXECUTESTATE","SSTIME","SCAR_ID","SDRIVER_ID","FSTIME","PLANBUSLINE_ID","IS_STUDENT","LINE_IDORI"
699,"2022-05-10",3,1,,,"07:00","07:30",,,,0,,,,,,,
699,"2022-05-10",4,0,,,"07:30","08:00",,,,0,,,,,,,
699,"2022-05-10",4,1,,,"07:30","08:00",,,,0,,,,,,,
699,"2022-05-10",5,0,,,"08:00","08:30",,,,0,,,,,,,
699,"2022-05-10",5,1,,,"08:00","08:30",,,,0,,,,,,,
699,"2022-05-10",6,0,,,"08:30","09:00",,,,0,,,,,,,
699,"2022-05-10",6,1,,,"08:30","09:00",,,,0,,,,,,,
699,"2022-05-10",7,0,,,"09:00","09:30",,,,0,,,,,,,
699,"2022-05-10",7,1,,,"09:00","09:30",,,,0,,,,,,,
699,"2022-05-10",8,0,,,"09:30","10:00",,,,0,,,,,,,
699,"2022-05-10",8,1,,,"09:30","10:00",,,,0,,,,,,,
699,"2022-05-10",9,0,,,"10:00","10:30",,,,0,,,,,,,
699,"2022-05-10",9,1,,,"10:00","10:30",,,,0,,,,,,,
699,"2022-05-10",10,0,,,"10:30","11:00",,,,0,,,,,,,
699,"2022-05-10",10,1,,,"10:30","11:00",,,,0,,,,,,,
699,"2022-05-10",11,0,,,"11:00","11:30",,,,0,,,,,,,
699,"2022-05-10",11,1,,,"11:00","11:30",,,,0,,,,,,,
699,"2022-05-10",12,0,,,"11:30","12:00",,,,0,,,,,,,
699,"2022-05-10",12,1,,,"11:30","12:00",,,,0,,,,,,,
699,"2022-05-10",13,0,,,"12:00","12:30",,,,0,,,,,,,
699,"2022-05-10",13,1,,,"12:00","12:30",,,,0,,,,,,,
699,"2022-05-10",14,0,,,"12:30","13:00",,,,0,,,,,,,
699,"2022-05-10",14,1,,,"12:30","13:00",,,,0,,,,,,,
699,"2022-05-10",15,0,,,"13:00","13:30",,,,0,,,,,,,
699,"2022-05-10",15,1,,,"13:00","13:30",,,,0,,,,,,,
699,"2022-05-10",16,0,,,"13:30","14:00",,,,0,,,,,,,
699,"2022-05-10",16,1,,,"13:30","14:00",,,,0,,,,,,,
699,"2022-05-10",17,0,,,"14:00","14:30",,,,0,,,,,,,
699,"2022-05-10",17,1,,,"14:00","14:30",,,,0,,,,,,,
699,"2022-05-10",18,0,,,"14:30","15:00",,,,0,,,,,,,
699,"2022-05-10",18,1,,,"14:30","15:00",,,,0,,,,,,,
699,"2022-05-10",19,0,,,"15:00","15:30",,,,0,,,,,,,
699,"2022-05-10",19,1,,,"15:00","15:30",,,,0,,,,,,,
699,"2022-05-10",20,0,,,"15:30","16:00",,,,0,,,,,,,
699,"2022-05-10",20,1,,,"15:30","16:00",,,,0,,,,,,,
699,"2022-05-10",21,0,,,"16:00","16:30",,,,0,,,,,,,
699,"2022-05-10",21,1,,,"16:00","16:30",,,,0,,,,,,,
699,"2022-05-10",22,0,,,"16:30","17:00",,,,0,,,,,,,
699,"2022-05-10",22,1,,,"16:30","17:00",,,,0,,,,,,,
699,"2022-05-10",23,0,,,"17:00","17:30",,,,0,,,,,,,
699,"2022-05-10",23,1,,,"17:00","17:30",,,,0,,,,,,,
699,"2022-05-10",24,0,,,"17:30","18:00",,,,0,,,,,,,
699,"2022-05-10",24,1,,,"17:30","18:00",,,,0,,,,,,,
699,"2022-05-10",25,0,,,"18:00","18:30",,,,0,,,,,,,
699,"2022-05-10",25,1,,,"18:00","18:30",,,,0,,,,,,,
699,"2022-05-10",26,0,,,"18:30","19:00",,,,0,,,,,,,
699,"2022-05-10",26,1,,,"18:30","19:00",,,,0,,,,,,,
699,"2022-05-10",27,0,,,"19:00","19:30",,,,0,,,,,,,
699,"2022-05-10",27,1,,,"19:00","19:30",,,,0,,,,,,,
699,"2022-05-10",28,0,,,"19:30","20:00",,,,0,,,,,,,
699,"2022-05-10",28,1,,,"19:30","20:00",,,,0,,,,,,,
699,"2022-05-10",29,0,,,"20:00","20:30",,,,0,,,,,,,
699,"2022-05-10",29,1,,,"20:00","20:30",,,,0,,,,,,,
699,"2022-05-10",30,0,,,"20:30","21:00",,,,0,,,,,,,
699,"2022-05-10",30,1,,,"20:30","21:00",,,,0,,,,,,,
699,"2022-05-10",31,0,,,"21:00","21:30",,,,0,,,,,,,
699,"2022-05-10",31,1,,,"21:00","21:30",,,,0,,,,,,,
699,"2022-05-10",32,0,,,"21:30","22:00",,,,0,,,,,,,
699,"2022-05-10",32,1,,,"21:30","22:00",,,,0,,,,,,,
699,"2022-05-10",33,0,,,"22:00","22:30",,,,0,,,,,,,
699,"2022-05-10",33,1,,,"22:00","22:30",,,,0,,,,,,,
699,"2022-05-10",34,0,,,"22:30","23:00",,,,0,,,,,,,
699,"2022-05-10",34,1,,,"22:30","23:00",,,,0,,,,,,,
699,"2022-05-10",35,0,,,"23:00","23:30",,,,0,,,,,,,
699,"2022-05-10",35,1,,,"23:00","23:30",,,,0,,,,,,,
699,"2022-05-11",1,0,,,"06:00","06:30",,,,0,,,,,,,
699,"2022-05-11",1,1,,,"06:00","06:30",,,,0,,,,,,,
699,"2022-05-11",2,0,,,"06:30","07:00",,,,0,,,,,,,
699,"2022-05-11",2,1,,,"06:30","07:00",,,,0,,,,,,,
699,"2022-05-11",3,0,,,"07:00","07:30",,,,0,,,,,,,
699,"2022-05-11",3,1,,,"07:00","07:30",,,,0,,,,,,,
699,"2022-05-11",4,0,,,"07:30","08:00",,,,0,,,,,,,
699,"2022-05-11",4,1,,,"07:30","08:00",,,,0,,,,,,,
699,"2022-05-11",5,0,,,"08:00","08:30",,,,0,,,,,,,
699,"2022-05-11",5,1,,,"08:00","08:30",,,,0,,,,,,,
699,"2022-05-11",6,0,,,"08:30","09:00",,,,0,,,,,,,
699,"2022-05-11",6,1,,,"08:30","09:00",,,,0,,,,,,,
699,"2022-05-11",7,0,,,"09:00","09:30",,,,0,,,,,,,
699,"2022-05-11",7,1,,,"09:00","09:30",,,,0,,,,,,,
699,"2022-05-11",8,0,,,"09:30","10:00",,,,0,,,,,,,
699,"2022-05-11",8,1,,,"09:30","10:00",,,,0,,,,,,,
699,"2022-05-11",9,0,,,"10:00","10:30",,,,0,,,,,,,
699,"2022-05-11",9,1,,,"10:00","10:30",,,,0,,,,,,,
699,"2022-05-11",10,0,,,"10:30","11:00",,,,0,,,,,,,
699,"2022-05-11",10,1,,,"10:30","11:00",,,,0,,,,,,,
699,"2022-05-11",11,0,,,"11:00","11:30",,,,0,,,,,,,
699,"2022-05-11",11,1,,,"11:00","11:30",,,,0,,,,,,,
699,"2022-05-11",12,0,,,"11:30","12:00",,,,0,,,,,,,
699,"2022-05-11",12,1,,,"11:30","12:00",,,,0,,,,,,,
699,"2022-05-11",13,0,,,"12:00","12:30",,,,0,,,,,,,
699,"2022-05-11",13,1,,,"12:00","12:30",,,,0,,,,,,,
699,"2022-05-11",14,0,,,"12:30","13:00",,,,0,,,,,,,
699,"2022-05-11",14,1,,,"12:30","13:00",,,,0,,,,,,,
699,"2022-05-11",15,0,,,"13:00","13:30",,,,0,,,,,,,
699,"2022-05-11",15,1,,,"13:00","13:30",,,,0,,,,,,,
699,"2022-05-11",16,0,,,"13:30","14:00",,,,0,,,,,,,
699,"2022-05-11",16,1,,,"13:30","14:00",,,,0,,,,,,,
699,"2022-05-11",17,0,,,"14:00","14:30",,,,0,,,,,,,
699,"2022-05-11",17,1,,,"14:00","14:30",,,,0,,,,,,,
699,"2022-05-11",18,0,,,"14:30","15:00",,,,0,,,,,,,
699,"2022-05-11",18,1,,,"14:30","15:00",,,,0,,,,,,,
699,"2022-05-11",19,0,,,"15:00","15:30",,,,0,,,,,,,
699,"2022-05-11",19,1,,,"15:00","15:30",,,,0,,,,,,,
699,"2022-05-11",20,0,,,"15:30","16:00",,,,0,,,,,,,
699,"2022-05-11",20,1,,,"15:30","16:00",,,,0,,,,,,,
699,"2022-05-11",21,0,,,"16:00","16:30",,,,0,,,,,,,
699,"2022-05-11",21,1,,,"16:00","16:30",,,,0,,,,,,,
699,"2022-05-11",22,0,,,"16:30","17:00",,,,0,,,,,,,
699,"2022-05-11",22,1,,,"16:30","17:00",,,,0,,,,,,,
699,"2022-05-11",23,0,,,"17:00","17:30",,,,0,,,,,,,
699,"2022-05-11",23,1,,,"17:00","17:30",,,,0,,,,,,,
699,"2022-05-11",24,0,,,"17:30","18:00",,,,0,,,,,,,
699,"2022-05-11",24,1,,,"17:30","18:00",,,,0,,,,,,,
